=== NoC Performance Results [CHP (abstract sync, one event per ?/!)] ===
Averaged over 10 runs per configuration.
# Latency = mean per-packet (t_eject - t_inject).
# t_inject is logged in mock_core_tx immediately before out_chan!val;
# t_eject  is logged in mock_core_rx after in_chan?pkt.
-------------------------------------------------------------------------------------
Grid     | Packets/Core   | Load %   | Avg Total Cycles   | Avg E2E Latency     
-------------------------------------------------------------------------------------
2x2      | 1              | 10       | 297.00             | 287.00              
2x2      | 1              | 50       | 319.00             | 284.50              
2x2      | 1              | 75       | 344.00             | 293.67              
2x2      | 1              | 100      | 330.00             | 280.00              
2x2      | 3              | 10       | 439.00             | 330.00              
2x2      | 3              | 50       | 473.00             | 341.33              
2x2      | 3              | 75       | 508.00             | 334.22              
2x2      | 3              | 100      | 487.00             | 335.92              
2x2      | 5              | 10       | 579.00             | 329.60              
2x2      | 5              | 50       | 624.00             | 347.20              
2x2      | 5              | 75       | 624.00             | 344.20              
2x2      | 5              | 100      | 670.00             | 352.45              
3x3      | 1              | 10       | 387.00             | 377.00              
3x3      | 1              | 25       | 414.00             | 359.00              
3x3      | 1              | 50       | 468.00             | 372.50              
3x3      | 1              | 75       | 488.00             | 365.14              
3x3      | 1              | 100      | 510.00             | 370.89              
3x3      | 3              | 10       | 539.00             | 411.00              
3x3      | 3              | 25       | 555.00             | 395.67              
3x3      | 3              | 50       | 618.00             | 397.75              
3x3      | 3              | 75       | 642.00             | 404.14              
3x3      | 3              | 100      | 669.00             | 413.59              
3x3      | 5              | 10       | 664.00             | 401.60              
3x3      | 5              | 25       | 697.00             | 399.70              
3x3      | 5              | 50       | 779.00             | 414.55              
3x3      | 5              | 75       | 808.00             | 422.23              
3x3      | 5              | 100      | 872.00             | 435.82              
4x4      | 1              | 10       | 504.00             | 431.00              
4x4      | 1              | 25       | 588.00             | 439.75              
4x4      | 1              | 50       | 576.00             | 415.62              
4x4      | 1              | 75       | 649.00             | 412.42              
4x4      | 1              | 100      | 620.00             | 414.00              
4x4      | 3              | 10       | 663.00             | 438.83              
4x4      | 3              | 25       | 731.00             | 452.08              
4x4      | 3              | 50       | 750.00             | 463.46              
4x4      | 3              | 75       | 851.00             | 482.58              
4x4      | 3              | 100      | 866.00             | 488.52              
4x4      | 5              | 10       | 817.00             | 452.40              
4x4      | 5              | 25       | 867.00             | 464.10              
4x4      | 5              | 50       | 942.00             | 486.57              
4x4      | 5              | 75       | 969.00             | 495.75              
4x4      | 5              | 100      | 1102.00            | 518.25              
5x5      | 1              | 10       | 558.00             | 476.00              
5x5      | 1              | 25       | 648.00             | 466.00              
5x5      | 1              | 50       | 734.00             | 465.17              
5x5      | 1              | 75       | 786.00             | 469.47              
5x5      | 1              | 100      | 782.00             | 480.60              
5x5      | 3              | 10       | 804.00             | 539.67              
5x5      | 3              | 25       | 872.00             | 519.33              
5x5      | 3              | 50       | 969.00             | 524.89              
5x5      | 3              | 75       | 971.00             | 542.93              
