=== NoC Performance Results [PRS (2-phase, gate-level event count)] ===
Averaged over 10 runs per configuration.
# Latency = mean per-packet (t_eject - t_inject).
# t_inject is logged in mock_core_tx immediately before out_chan!val;
# t_eject  is logged in mock_core_rx after in_chan?pkt.
-------------------------------------------------------------------------------------
Grid     | Packets/Core   | Load %   | Avg Total Cycles   | Avg E2E Latency     
-------------------------------------------------------------------------------------
2x2      | 1              | 10       | 637.00             | 517.00              
2x2      | 1              | 50       | 694.00             | 526.50              
2x2      | 1              | 75       | 768.00             | 535.33              
2x2      | 1              | 100      | 842.00             | 563.50              
2x2      | 3              | 10       | 1906.00            | 939.67              
2x2      | 3              | 50       | 1953.00            | 910.50              
2x2      | 3              | 75       | 2099.00            | 929.67              
2x2      | 3              | 100      | 2235.00            | 961.75              
2x2      | 5              | 10       | 3152.00            | 1015.80             
2x2      | 5              | 50       | 3313.00            | 1008.00             
2x2      | 5              | 75       | 3437.00            | 1033.47             
2x2      | 5              | 100      | 3543.00            | 1046.20             
3x3      | 1              | 10       | 751.00             | 631.00              
3x3      | 1              | 25       | 884.00             | 640.50              
3x3      | 1              | 50       | 1013.00            | 658.75              
3x3      | 1              | 75       | 1264.00            | 713.29              
3x3      | 1              | 100      | 1513.00            | 794.67              
3x3      | 3              | 10       | 2422.00            | 1206.67             
3x3      | 3              | 25       | 2722.00            | 1237.67             
3x3      | 3              | 50       | 3054.00            | 1319.50             
3x3      | 3              | 75       | 3333.00            | 1291.48             
3x3      | 3              | 100      | 3364.00            | 1301.56             
3x3      | 5              | 10       | 3637.00            | 1173.60             
3x3      | 5              | 25       | 3963.00            | 1198.10             
3x3      | 5              | 50       | 4893.00            | 1355.20             
3x3      | 5              | 75       | 5090.00            | 1438.06             
3x3      | 5              | 100      | 5267.00            | 1453.73             
4x4      | 1              | 10       | 1072.00            | 791.50              
4x4      | 1              | 25       | 1175.56            | 809.44              
4x4      | 1              | 50       | 1622.00            | 901.62              
4x4      | 1              | 75       | 2012.00            | 925.08              
4x4      | 1              | 100      | 2258.89            | 1006.94             
4x4      | 3              | 10       | 2758.00            | 1285.00             
4x4      | 3              | 25       | 3311.00            | 1411.08             
4x4      | 3              | 50       | 4204.00            | 1529.04             
4x4      | 3              | 75       | 4870.00            | 1729.10             
4x4      | 3              | 100      | 5425.00            | 1828.12             
4x4      | 5              | 10       | 5098.00            | 1585.10             
4x4      | 5              | 25       | 5738.00            | 1564.45             
4x4      | 5              | 50       | 7007.00            | 1786.42             
4x4      | 5              | 75       | 7222.00            | 1816.12             
4x4      | 5              | 100      | 8303.00            | 2029.21             
5x5      | 1              | 10       | 960.00             | 726.00              
5x5      | 1              | 25       | 1657.00            | 1009.83             
5x5      | 1              | 50       | 2542.00            | 1063.50             
5x5      | 1              | 75       | 2824.00            | 1158.00             
5x5      | 1              | 100      | 3585.56            | 1413.73             
5x5      | 3              | 10       | 3747.00            | 1726.50             
5x5      | 3              | 25       | 5213.33            | 1885.99             
5x5      | 3              | 50       | 5923.00            | 2036.94             
5x5      | 3              | 75       | 7651.00            | 2298.96             
5x5      | 3              | 100      | 8092.00            | 2439.63             
5x5      | 5              | 10       | 6079.00            | 1785.50             
5x5      | 5              | 25       | 7352.00            | 1967.80             
5x5      | 5              | 50       | 9391.00            | 2138.65             
5x5      | 5              | 75       | 10476.00           | 2428.82             
5x5      | 5              | 100      | 13009.00           | 2820.27             
6x6      | 1              | 10       | 1474.00            | 998.25              
6x6      | 1              | 25       | 2164.00            | 978.33              
6x6      | 1              | 50       | 2947.00            | 1200.67             
6x6      | 1              | 75       | 3928.00            | 1303.48             
6x6      | 1              | 100      | 4558.00            | 1519.36             
6x6      | 3              | 10       | 4916.67            | 1924.54             
6x6      | 3              | 25       | 4854.44            | 1845.56             
6x6      | 3              | 50       | 7356.00            | 2332.81             
6x6      | 3              | 75       | 9596.00            | 2610.26             
6x6      | 3              | 100      | 9933.00            | 2987.78             
6x6      | 5              | 10       | 7090.00            | 1868.10             
6x6      | 5              | 25       | 8581.11            | 1982.42             
6x6      | 5              | 50       | 12916.00           | 2540.58             
6x6      | 5              | 75       | 14837.00           | 2878.85             
6x6      | 5              | 100      | 16637.00           | 3238.52             
7x7      | 1              | 10       | 1939.00            | 1050.60             
7x7      | 1              | 25       | 3150.00            | 1245.67             
7x7      | 1              | 50       | 3368.00            | 1253.75             
7x7      | 1              | 75       | 4484.00            | 1593.92             
7x7      | 1              | 100      | 5963.00            | 1954.84             
7x7      | 3              | 10       | 5393.00            | 2041.87             
