=== NoC Temporal Injection-Rate Sweep [CHP (abstract sync, one event per ?/!)] ===
Averaged over 10 runs per configuration.
Fixed: packets_per_active_core=5, spatial_load_percent=100.
# delay = injection_delay_cycles (counted-loop iterations between successive packets at each source).
# Latency = mean per-packet (t_eject - t_inject).
-------------------------------------------------------------------------------------
Grid     | Delay  | Avg Total Cycles   | Avg E2E Latency     
-------------------------------------------------------------------------------------
4x4      | 0      | 1030.00            | 507.85              
4x4      | 10     | 1204.00            | 437.91              
4x4      | 25     | 1754.00            | 422.91              
4x4      | 50     | 2709.00            | 416.41              
4x4      | 100    | 4721.00            | 417.36              
4x4      | 200    | 8736.00            | 418.55              
4x4      | 500    | 20704.00           | 421.27              
4x4      | 1000   | 40738.00           | 412.65              
8x8      | 0      | 1986.00            | 878.79              
8x8      | 10     | 2006.00            | 768.90              
8x8      | 25     | 2340.00            | 686.61              
8x8      | 50     | 3358.00            | 664.45              
8x8      | 100    | 5343.00            | 657.11              
8x8      | 200    | 9345.00            | 652.21              
8x8      | 500    | 21347.00           | 660.59              
8x8      | 1000   | 41320.00           | 660.88              
# Appended sweep delays=[1500, 2000, 2500] grids=['4x4', '8x8'] runs=10 packets=5 load=100%
4x4      | 1500   | 60728.00           | 415.85              
4x4      | 2000   | 80690.00           | 414.93              
4x4      | 2500   | 100700.00          | 414.18              
8x8      | 1500   | 61357.00           | 656.04              
8x8      | 2000   | 81370.00           | 655.92              
8x8      | 2500   | 101329.00          | 658.12              
