=== NoC Temporal Injection-Rate Sweep [PRS (2-phase, gate-level event count)] ===
Averaged over 10 runs per configuration.
Fixed: packets_per_active_core=5, spatial_load_percent=100.
# delay = injection_delay_cycles (counted-loop iterations between successive packets at each source).
# Latency = mean per-packet (t_eject - t_inject).
-------------------------------------------------------------------------------------
Grid     | Delay  | Avg Total Cycles   | Avg E2E Latency     
-------------------------------------------------------------------------------------
4x4      | 0      | 7838.00            | 1802.84             
4x4      | 10     | 7488.00            | 1646.04             
4x4      | 25     | 7416.00            | 1579.75             
4x4      | 50     | 7511.00            | 1436.53             
4x4      | 100    | 7456.67            | 1031.38             
4x4      | 200    | 9991.00            | 836.98              
4x4      | 500    | 22035.00           | 862.67              
4x4      | 1000   | 42039.00           | 849.15              
8x8      | 0      | 27747.00           | 5461.48             
8x8      | 10     | 29965.00           | 5552.95             
8x8      | 25     | 29105.00           | 5222.90             
8x8      | 50     | 28618.00           | 5128.32             
8x8      | 100    | 28417.00           | 4623.27             
8x8      | 200    | 28194.00           | 4034.14             
8x8      | 500    | 30962.00           | 2468.03             
8x8      | 1000   | 47630.00           | 2245.18             
# Appended sweep delays=[1500, 2000, 2500] grids=['4x4', '8x8'] runs=10 packets=5 load=100%
4x4      | 1500   | 62208.00           | 864.00              
4x4      | 2000   | 81937.00           | 861.79              
4x4      | 2500   | 101985.00          | 858.10              
8x8      | 1500   | 68658.00           | 2320.18             
8x8      | 2000   | 88097.00           | 2305.80             
8x8      | 2500   | 107733.00          | 2319.43             
